pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,p_throws,bb_type,game_year,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,release_pos_y,height,weight,age,weight_(oz),circumference_(in),avg_seam_height,avg_ccor,avg_ds
FF,94.9,-2.6016,6.1272,Bryce Harper,2.0,R,fly_ball,2017,-1.0447,1.5932,0.0893,2.8573,9.1466,-137.5923,-6.2033,-14.953,30.8529,-11.3645,3.19,1.49,419.0,107.2,25.961,93.29,2415.0,5.561,54.9357,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
SI,90.2,-2.0531,4.9271,Bryce Harper,8.0,R,fly_ball,2016,-2.07555,0.726033333,0.27,1.87,10.26,-130.96,-2.69,-23.88,31.82,-25.84,3.12,1.51,412.0,107.2,26.555,90.322,2144.0,7.0870000000000015,53.4125,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FC,86.8,1.8367,6.1946,Bryce Harper,7.0,L,fly_ball,2016,0.184516667,0.863633333,-0.4320000000000001,1.97,-6.1110000000000015,-126.18799999999999,-5.4170000000000025,3.61,27.949,-24.701,3.13,1.48,408.0,107.2,22.889,85.45100000000002,2174.0,5.431,55.0702,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FF,94.1,3.0278,5.9798,Bryce Harper,6.0,L,line_drive,2015,0.8455583329999999,1.834,0.6679999999999999,2.309,-7.949,-136.554,-7.271,13.298,28.784000000000002,-10.484000000000002,3.19,1.48,366.0,106.8,19.662,93.79899999999999,2361.0,6.3229999999999995,54.176,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
SL,84.2,-2.5208,5.5218,Bryce Harper,4.0,R,fly_ball,2015,0.38630833299999995,-0.0924,-0.598,2.342,3.1639999999999997,-122.58200000000001,-0.40399999999999997,5.585,26.62,-35.172,3.19,1.46,422.0,106.6,27.20300000000001,84.375,2118.0,6.808,53.6924,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
SI,91.1,2.4766,5.74,Bryce Harper,5.0,L,line_drive,2016,0.564441667,1.1632,-0.158,2.325,-8.026,-132.369,-4.598,8.918,26.603,-20.101,3.11,1.52,396.0,106.2,22.214000000000002,91.17,2133.0,6.202000000000001,54.3007,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
CH,81.2,-1.6814,5.0169,Bryce Harper,8.0,R,fly_ball,2017,-0.7003,0.2745,-0.08900000000000001,1.6908,4.8818,-118.1286,-1.4256,-7.4052,19.9131,-29.5495,3.17,1.49,415.0,106.2,32.784,81.464,1578.0,6.222,54.2784,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,90.3,-2.4724,5.645,Bryce Harper,8.0,R,fly_ball,2016,-0.745116667,0.764733333,-0.099,1.8559999999999999,6.223,-131.355,-4.39,-7.8210000000000015,24.734,-25.136,3.13,1.52,461.0,106.2,28.401,89.155,2165.0,5.192,55.3088,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FF,96.6,-1.5161,5.8889,Bryce Harper,8.0,R,fly_ball,2016,-0.13974166699999999,1.5387333330000001,-0.138,1.54,3.3160000000000003,-140.25799999999998,-9.051,-0.13699999999999998,27.985,-13.261,3.13,1.56,411.0,106.0,27.6,97.014,2467.0,6.135,54.3676,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
SL,76.7,3.0555,5.7655,Bryce Harper,5.0,L,line_drive,2015,-0.5530666670000001,-0.3461,-0.062,2.54,-5.751,-111.56299999999999,1.093,-3.7739999999999996,22.924,-36.830999999999996,3.17,1.42,443.0,105.9,25.976,75.71300000000002,2221.0,5.746,54.7528,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
